Object,RA,DEC,Class
HRG 00701,11 02 16.93,-83 25 50.50,PRG
HRG 50201,11 02 31.75,-26 09 59.88,PRG
HRG 00702,11 14 04.95,-84 16 23.54,PRG
HRG 00703,11 14 17.15,-84 18 13.36,PRG
HRG 00704,11 15 14.79,-84 17 16.30,PRG
HRG 00705,11 17 25.90,-82 49 40.18,PRG
FM 438-21,11 18 35.12,-27 59 56.45,PRG
FM 265-16,11 20 47.83,-43 15 49.33,PRG
A 1123-232,11 25 58.41,-23 42 21.65,PRG
ESO 503-G17,11 26 52.41,-27 42 19.35,PRG
AM 1132-324,11 35 20.19,-33 02 02.66,PRG
AM 1135-284,11 37 42.21,-29 04 59.08,PRG
HRG 00706,11 42 52.94,-83 25 05.82,PRG
HRG 57201,11 43 13.66,-18 24 03.79,PRG
HRG 00602,11 44 16.43,-85 40 45.02,PRG
HRG 57202,11 50 27.56,-18 34 47.38,PRG
HRG 57203,11 54 54.86,-22 03 16.10,PRG
AM 1152-421,11 55 21.38,-42 29 17.37,PRG
HRG 57204,11 59 44.23,-20 58 14.34,PRG
HRG 57205,12 00 31.13,-21 19 17.55,PRG
HRG 57206,12 00 43.20,-20 49 57.92,PRG
AM 1159-530,12 01 36.03,-53 21 24.93,PRG
AM 1205-300,12 07 57.14,-30 20 20.38,PRG
HRG 57301,12 24 28.86,-21 37 51.69,PRG
IC 3370,12 27 36.61,-39 20 18.44,PRG
HRG 00707,12 37 13.75,-84 02 25.60,PRG
HRG 32201,12 41 59.76,-39 49 01.04,PRG
AM 1241-402,12 44 48.81,-40 42 49.55,PRG
NGC 4672,12 46 15.43,-41 42 22.02,PRG
IC 3813,12 50 02.19,-25 55 11.95,PRG
AM 1247-253,12 50 05.64,-25 57 14.68,PRG
NGC 4753,12 52 21.99,-01 11 55.90,PRG
Abell 1631-14,12 52 32.24,-15 52 25.27,PRG
Abell 1644-105,12 57 37.10,-17 11 17.25,PRG
A 1256-1710,12 58 43.40,-17 26 48.17,PRG
AM 1257-222,13 00 22.03,-22 41 39.95,PRG
AM 1316-241,13 19 31.83,-24 29 01.38,PRG
AM 1318-432,13 21 17.30,-43 43 09.49,PRG
AM 1320-265,13 23 05.77,-27 12 24.24,PRG
NGC 5122,13 24 14.70,-10 39 14.86,PRG
ESO 270-IG09,13 25 29.01,-43 00 59.75,PRG
AM 1323-293,13 26 47.20,-29 52 52.52,PRG
AM 1325-292,13 27 51.15,-29 37 07.81,PRG
AM 1325-251,13 27 58.09,-25 31 47.65,PRG
ESO 576-G69,13 30 05.18,-20 55 56.20,PRG
HRG 00708,13 30 55.77,-87 10 52.00,PRG
HRG 38301,13 31 43.39,-33 22 49.50,PRG
HRG 00802,13 36 10.81,-84 20 32.11,PRG
A 1334-2935,13 37 29.34,-29 50 25.39,PRG
HRG 02101,13 47 05.88,-80 46 47.97,PRG
FM 509-47,13 47 10.22,-22 07 01.26,PRG
HRG 32501,13 48 15.04,-42 10 18.46,PRG
AM 1352-263,13 55 04.32,-26 46 54.01,PRG
AM 1354-250,13 57 13.94,-25 14 43.24,PRG
A 1356-2618,13 58 54.98,-26 32 45.54,PRG
HRG 51001,14 00 23.67,-23 18 27.39,PRG
OA 03501,14 00 23.74,-23 19 04.26,PRG
ESO 578-G14,14 01 08.14,-22 33 33.25,PRG
AM 1358-221,14 01 25.65,-22 34 19.25,PRG
ESO 326-IG6,14 11 08.37,-40 06 18.65,PRG
AM 1408-364,14 11 42.91,-37 01 11.53,PRG
HRG 02201,14 38 08.45,-79 19 17.45,PRG
HRG 02202,14 40 26.76,-78 48 31.50,PRG
FM 327-6,14 43 48.54,-37 06 55.64,PRG
AM 1451-304,14 55 38.92,-25 37 57.16,PRG
FM 327-23,15 00 34.03,-40 48 36.08,PRG
HRG 02203,15 04 27.37,-80 06 06.23,PRG
HRG 58201,15 24 03.74,-18 40 46.40,PRG
HRG 00901,15 35 26.51,-86 32 39.47,PRG
OA 00203,15 44 42.10,-82 49 13.42,PRG
OA 00109,15 47 39.84,-83 03 00.97,PRG
HRG 00801,15 48 53.14,-82 59 08.32,PRG
HRG 00803,16 05 43.69,-85 38 11.80,PRG
OA 00110,16 15 20.36,-83 14 08.14,PRG
HRG 00902,16 15 58.23,-83 14 32.99,PRG
HRG 00804,16 19 18.21,-84 46 56.54,PRG
HRG 00903,16 21 58.24,-82 32 00.88,PRG
HRG 00904,16 22 12.32,-82 29 21.79,PRG
HRG 02301,16 28 02.61,-78 28 03.78,PRG
HRG 02303,16 31 42.86,-78 27 11.72,PRG
HRG 02302,16 32 35.00,-81 05 37.50,PRG
HRG 00905,16 50 12.22,-84 28 54.07,PRG
HRG 02304,16 54 40.04,-80 03 47.35,PRG
AM 1646-795,16 55 30.12,-80 05 46.82,PRG
HRG 10101,16 55 54.40,-64 30 09.93,PRG
HRG 10102,16 57 10.09,-64 37 44.34,PRG
HRG 10103,16 58 20.93,-63 26 04.60,PRG
HRG 10104,17 06 05.81,-63 27 50.50,PRG
HRG 10105,17 19 03.94,-63 22 22.63,PRG
HRG 13801,17 29 09.41,-62 26 44.47,PRG
HRG 00906,17 34 49.20,-86 22 34.75,PRG
HRG 02401,17 49 14.65,-79 01 58.17,PRG
AM 1806-852,18 22 40.82,-85 24 26.81,PRG
OA 00205,18 30 33.04,-78 52 12.66,PRG
HRG 02402,18 30 42.33,-78 50 29.96,PRG
AM 1827-625,18 32 02.80,-62 55 53.97,PRG
HRG 02404,18 38 16.97,-77 31 45.00,PRG
HRG 02403,18 40 15.73,-82 03 12.02,PRG
A 1837-6317,18 41 54.83,-63 13 24.04,PRG
HRG 02405,18 54 39.77,-78 53 51.15,PRG
AM 1854-490,18 58 06.58,-49 00 39.68,PRG
HRG 02406,18 58 45.81,-79 33 54.82,PRG
HRG 01001,19 04 33.80,-85 18 56.58,PRG
HRG 01002,19 11 43.84,-83 00 16.86,PRG
HRG 01003,19 20 18.32,-84 47 32.37,PRG
HRG 02502,19 20 47.76,-78 26 18.34,PRG
ESO 232-G04,19 22 46.56,-51 00 07.71,PRG
HRG 02503,19 33 12.85,-77 54 34.50,PRG
AM 1934-563,19 38 38.32,-56 27 28.98,PRG
HRG 10501,19 41 23.75,-62 33 55.95,PRG
HRG 01004,19 48 16.90,-83 04 51.76,PRG
HRG 01005,19 50 17.98,-82 34 16.44,PRG
AM 1953-260,19 56 28.00,-25 54 55.28,PRG
HRG 01006,19 56 47.52,-82 40 53.17,PRG
AM 1957-394,20 00 35.76,-39 38 59.41,PRG
AM 2002-563,20 06 49.58,-56 23 22.73,PRG
AM 2005-282,20 08 39.15,-28 16 10.59,PRG
HRG 01007,20 10 35.55,-86 51 27.73,PRG
AM 2006-564,20 10 50.30,-56 40 22.21,PRG
HRG 02504,20 11 03.74,-78 50 51.39,PRG
FM 186-10,20 12 23.53,-54 21 33.90,PRG
HRG 10502,20 12 26.15,-65 24 54.34,PRG
